connector_id,has_standard,has_enhanced,variants,monthly_executions,active_workflows,active_organizations,adoption_trend,annual_recurring_revenue,pipeline_influence,expansion_opportunities,support_tickets,support_escalations,avg_resolution_hours,usage_score,revenue_score,support_score,composite_score,tier,sources,notes,sandbox_access_granted,credentials_provisioned,script_properties_standardized,security_approved
brex,true,false,brex,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
caldotcom,true,false,caldotcom,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
calendly,true,false,calendly,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
circleci,true,false,circleci,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
clickup,true,false,clickup,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
coda,true,false,coda,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
concur,true,false,concur,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
confluence,true,false,confluence,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
coupa,true,false,coupa,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
databricks,true,false,databricks,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
datadog,true,false,datadog,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
docker-hub,true,false,docker-hub,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
docusign,true,false,docusign,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
dropbox,true,true,dropbox|dropbox-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
dynamics365,true,false,dynamics365,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
egnyte,true,false,egnyte,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
excel-online,true,false,excel-online,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
expensify,true,false,expensify,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
freshdesk,true,false,freshdesk,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
github,true,true,github|github-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
gitlab,true,false,gitlab,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
gmail,true,true,gmail|gmail-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-admin,true,false,google-admin,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-calendar,true,false,google-calendar,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-chat,true,false,google-chat,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-contacts,true,false,google-contacts,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-docs,true,false,google-docs,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-drive,true,false,google-drive,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-forms,true,false,google-forms,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-meet,true,false,google-meet,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-sheets,false,true,google-sheets-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
google-slides,true,false,google-slides,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
grafana,true,false,grafana,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
greenhouse,true,false,greenhouse,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
guru,true,false,guru,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
hashicorp-vault,true,false,hashicorp-vault,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
hellosign,true,false,hellosign,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
helm,true,false,helm,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
intercom,true,false,intercom,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
iterable,true,false,iterable,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
jenkins,true,false,jenkins,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
jira-service-management,true,false,jira-service-management,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
jotform,true,false,jotform,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
klaviyo,true,false,klaviyo,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
kubernetes,true,false,kubernetes,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
kustomer,true,false,kustomer,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
lever,true,false,lever,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
linear,true,false,linear,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
llm,true,false,llm,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
looker,true,false,looker,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
luma,true,false,luma,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
magento,true,false,magento,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
mailchimp,true,true,mailchimp|mailchimp-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
mailgun,true,false,mailgun,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
marketo,true,false,marketo,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
microsoft-teams,true,false,microsoft-teams,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
microsoft-todo,true,false,microsoft-todo,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
miro,true,false,miro,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
mixpanel,true,false,mixpanel,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
monday,true,true,monday|monday-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
navan,true,false,navan,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
netsuite,true,false,netsuite,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
newrelic,true,false,newrelic,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
nexus,true,false,nexus,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
notion,true,true,notion|notion-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
okta,true,false,okta,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
onedrive,true,false,onedrive,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
opsgenie,true,false,opsgenie,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
outlook,true,false,outlook,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
pagerduty,true,false,pagerduty,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
pardot,true,false,pardot,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
paypal,true,false,paypal,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
pipedrive,true,false,pipedrive,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
powerbi,true,true,powerbi|powerbi-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
prometheus,true,false,prometheus,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
qualtrics,true,false,qualtrics,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
quickbooks,true,false,quickbooks,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
ramp,true,false,ramp,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
razorpay,true,false,razorpay,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
ringcentral,true,false,ringcentral,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
sageintacct,true,false,sageintacct,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
sap-ariba,true,false,sap-ariba,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
sendgrid,true,false,sendgrid,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
sentry,true,false,sentry,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
servicenow,true,false,servicenow,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
sharepoint,true,false,sharepoint,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
shopify,true,true,shopify|shopify-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
slab,true,false,slab,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
smartsheet,true,false,smartsheet,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
snowflake,true,false,snowflake,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
sonarqube,true,false,sonarqube,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
square,true,false,square,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
stripe,true,true,stripe|stripe-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
successfactors,true,false,successfactors,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
surveymonkey,true,false,surveymonkey,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
tableau,true,false,tableau,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
talkdesk,true,false,talkdesk,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
teamwork,true,false,teamwork,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
terraform-cloud,true,false,terraform-cloud,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
toggl,true,false,toggl,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
trello,true,true,trello|trello-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
twilio,true,false,twilio,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
typeform,true,false,typeform,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
victorops,true,false,victorops,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
webex,true,false,webex,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
webflow,true,false,webflow,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
woocommerce,true,false,woocommerce,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
workday,true,false,workday,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
workfront,true,false,workfront,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
xero,true,false,xero,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
zoho-books,true,false,zoho-books,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
zoho-crm,true,false,zoho-crm,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
zoom,false,true,zoom-enhanced,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
zendesk,true,false,zendesk,7200,480,132,stable,760000,540000,3,35,5,19.3,0.442,0.353,0.151,0.315,2,manifest|analytics,Analytics: Key support workflow with elevated support load to monitor.,false,false,false,false
